theta,infection_age_days,index_geometry_pass_fraction,recorded_onsets_p10,recorded_onsets_p90,before_share_median,campaign_positives_p10,campaign_positives_p90,attack_q10,attack_q50,attack_q90,p_attack_ge_0p10,p_attack_le_0p01,vsp_threshold_crossing_fraction,index_geometry_ok,t1_ok,t3_ok
31622776.601683795,9.0,0.775,0.0,3000.8,0.5209756097560976,0.0,446.90000000000003,0.0,0.678119105362436,0.8586903799514956,0.55,0.45,0.55,False,False,False
31622776.601683795,11.0,0.9,0.0,3035.9,0.494572591587517,0.0,439.1000000000001,0.00024252223120452716,0.8111021288062517,0.8533279439504177,0.625,0.375,0.625,True,False,False
31622776.601683795,13.0,0.925,1.0,3037.9,0.4266666666666667,1.0,481.40000000000003,0.00026946914578280785,0.8007275666936136,0.8469145782807869,0.75,0.225,0.75,True,False,False
100000000.0,0.0,0.0,0.0,14.0,0.39285714285714285,0.0,14.0,0.0,0.0,0.010212880625168503,0.075,0.9,0.05,False,False,False
100000000.0,3.0,0.075,0.0,316.0000000000003,0.14705882352941177,0.0,181.30000000000013,0.0,0.0,0.24384263001886283,0.15,0.8,0.125,False,True,False
100000000.0,5.0,0.45,0.0,2606.600000000001,0.26785714285714285,0.0,456.1000000000001,0.0,0.0005389382915656157,0.7492859067636757,0.25,0.725,0.225,False,True,False
100000000.0,7.0,0.675,0.0,3111.4,0.4001232408594576,0.0,486.3,0.0,0.002021018593371059,0.884263001886284,0.475,0.525,0.45,False,False,False
100000000.0,9.0,0.775,0.0,3177.1,0.6324741188012264,0.0,389.90000000000003,0.0,0.8296954998652655,0.88887092427917,0.6,0.4,0.6,False,False,False
100000000.0,11.0,0.9,0.0,3195.3,0.619597178929223,0.0,379.1000000000001,0.00026946914578280785,0.8565076798706548,0.8847749932632714,0.725,0.275,0.7,True,False,False
100000000.0,13.0,0.925,2.9000000000000004,3192.2,0.5278104400427273,2.0,470.2000000000001,0.0008084074373484236,0.861897062786311,0.8852061438965239,0.825,0.15,0.825,True,False,False
316227766.01683795,0.0,0.0,0.0,1172.8000000000009,0.09702748177229388,0.0,555.1000000000001,0.0,0.0,0.4501482080301807,0.225,0.775,0.125,False,True,False
316227766.01683795,3.0,0.075,0.0,2524.900000000001,0.125,0.0,514.2,0.0,0.0,0.7201562921045542,0.3,0.65,0.2,False,True,False
316227766.01683795,5.0,0.45,0.0,3206.8,0.25542071197411004,0.0,437.90000000000003,0.0,0.0012126111560226355,0.8918889787119375,0.4,0.55,0.35,False,True,False
316227766.01683795,7.0,0.675,0.0,3278.5,0.5323211064341551,0.0,473.8,0.0,0.27175963352196175,0.9137968202640797,0.55,0.4,0.475,False,False,False
316227766.01683795,9.0,0.775,0.0,3285.6,0.6886226068858523,0.0,318.90000000000003,0.0,0.8868229587712206,0.914874696847211,0.6,0.375,0.575,False,False,False
316227766.01683795,11.0,0.9,0.0,3283.1,0.7122622355574342,0.0,333.3,0.00026946914578280785,0.8978711937483158,0.9093505793586634,0.775,0.225,0.725,True,False,False
316227766.01683795,13.0,0.9,736.1000000000003,3287.0,0.6582259054634745,205.10000000000008,506.90000000000003,0.2416599299380222,0.8950417677175964,0.9119913769873349,0.9,0.1,0.875,True,False,False
1000000000.0,0.0,0.0,0.0,2295.3,0.0780701754385965,0.0,679.8,0.0,0.0,0.7020210185933711,0.325,0.675,0.3,False,True,True
1000000000.0,3.0,0.075,0.0,3329.3,0.10726072607260725,0.0,659.5,0.0,0.06548100242522231,0.9047965507949339,0.475,0.45,0.425,False,True,True
1000000000.0,5.0,0.45,0.0,3352.6,0.13675859463543635,0.0,666.1,0.0,0.2914308811641067,0.9218539477229857,0.625,0.375,0.475,False,True,True
1000000000.0,7.0,0.675,0.0,3355.5,0.5,0.0,650.8,0.00024252223120452716,0.6793317165184587,0.9307733764483966,0.725,0.275,0.65,False,False,True
1000000000.0,9.0,0.775,0.9000000000000004,3356.3,0.8116053797526439,0.9000000000000004,643.4,0.00024252223120452716,0.9192939908380491,0.9303152789005659,0.775,0.2,0.75,False,False,True
1000000000.0,11.0,0.9,2.9000000000000004,3351.0,0.8165476236688534,2.9000000000000004,586.0,0.0008084074373484236,0.9207760711398545,0.928887092427917,0.875,0.125,0.8,True,False,False
1000000000.0,13.0,0.925,877.2000000000002,3372.4,0.789600240456868,224.7,503.10000000000014,0.3201023982753975,0.9218539477229857,0.9299380220964699,0.925,0.075,0.9,True,False,False
